Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
syb_perk_desc_13004,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,Данный навык позволяет вам устанавливать металические ворота,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate,This skill allows you to install a metal gate
syb_perk_desc_13005,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,Данный навык позволяет вам устанавливать баррикады на окна,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows,This skill allows you to set up barricades on windows
syb_perk_desc_13006,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Строительные инструменты будут служить вам дольше при бережном обращении с ними на,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on,Construction tools will last longer when handled with care on
syb_perk_desc_14000,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,Данный навык позволяет вам использовать кнопку перезарядки для быстрой смены магазинов в оружии без необходимости открывать инвентарь,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.,This skill allows you to use the reload button to quickly change magazines in your weapon without having to open your inventory.
syb_perk_desc_14001,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,Данный навык позволяет вам более эффективно использовать набор для чистки оружия на,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on,This skill allows you to more effectively use the weapon cleaning kit on
syb_perk_desc_14002,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,Данный навык позволяет вам использовать патронный станок для производства самодельных патронов из стреляных гильз,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.,This skill allows you to use a cartridge machine to make homemade cartridges from spent cartridges.
syb_perk_desc_14003,"When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for",При разборке оружия вы получите больше запчастей и частей оружия на,"When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for","When disassembling weapons, you will receive more spare parts and weapon parts for"
syb_perk_desc_14004,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,Вы можете ремонтировать сломаное оружие лучше на,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at,You can repair broken weapons better at
syb_perk_desc_14005,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Инструменты для чистки и ремонта оружия будут служить вам дольше при бережном обращении с ними на,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on,Weapon cleaning and repair tools will last longer if handled with care on
syb_perk_desc_15000,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,Данный навык позволяет вам использовать отмычку чтобы закрывать и открывать двери,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.,This skill allows you to use a lockpick to open and close doors.
syb_perk_desc_15001,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,Данный навык позволяет вам взламывать замки,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks,This skill allows you to pick locks
syb_perk_desc_15002,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,Данный навык позволяет вам взламывать закрытый транспорт,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle,This skill allows you to hack a closed vehicle
syb_perk_desc_15003,"This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","Данный навык позволит украть случайный предмет из карманов другого человека. В случае неудачи вас могут наказать, будте аккуратны. Шанс успешной кражи","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance","This skill will allow you to steal a random item from the pockets of another person. If you fail, you may be punished, be careful. Successful theft chance"
syb_perk_desc_15004,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,Данный навык позволяет вам развязывать связаные руки за спинок с шансом,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance,This skill allows you to untie your tied hands behind your back with a chance
syb_perk_desc_15005,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,Данный навык позволяет вам взламывать закрытые наручники с шансом,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance,This skill allows you to break closed handcuffs with a chance
syb_perk_desc_15006,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,"Вы можете прикинуться, что у вас связаны руки за спиной, чтобы обмануть другого выжившего",You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor,You can pretend to have your hands tied behind your back to trick another survivor
syb_perk_desc_15007,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Инструменты для взлома замков будут служить вам дольше при бережном обращении с ними на,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on,Lock picking tools will last longer if handled with care on
syb_perk_desc_16000,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,Вы можете собирать травы в полях для приготовления настоек и лекарств,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines,You can collect herbs in the fields for making tinctures and medicines
syb_perk_desc_16001,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,Вы можете определить свойства собраной травы,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb,You can determine the properties of the harvested herb
syb_perk_desc_16002,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Инструменты для травничества будут служить вам дольше при бережном обращении с ними на,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in,Herbalism tools will last longer when handled with care in
syb_perk_desc_16003,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,Вы научились создавать более сильные настойки и препараты на,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for,You have learned how to create stronger tinctures and preparations for
syb_perk_desc_16004,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,Количество произведенных настоек и препаратов увеличивается на,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by,The number of tinctures and preparations produced increases by
syb_perk_desc_17000,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,Вы можете обрабатывать шкуры животных для создания кожаных и меховых вещей,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items,You can process animal skins to create leather and fur items
syb_perk_desc_17001,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,Вы можете ремонтировать испорченные шкуры более эффективно до,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before,You can repair damaged hides more efficiently before
syb_perk_desc_17002,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,Вы можете обрабатывать шерсть овец для создания теплых шерстяных вещей,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments,You can process sheep wool to create warm woolen garments
syb_perk_desc_17003,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,Вы можете обрабатывать хлопок для создания легких и прочных вещей,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments,You can process cotton to create lightweight and durable garments
syb_perk_desc_17004,"When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on",При разрезании старых вещей вы получаете больше материала на,"When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on","When cutting old things, you get more material on"
syb_perk_desc_17005,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,Вы можете более эффективно ремонтировать вещи на,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at,You can repair things more efficiently at
syb_perk_desc_17006,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Инструменты портного будут служить вам дольше при бережном обращении с ними на,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on,Tailor tools will last longer when handled with care on
zl_starterkit_full,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Грелка / Тряпки / Фаер,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare,Heatpack / Rag / Flare
zl_starterkit_knife,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife,Охотничий Нож,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife,Hunting Knife
zl_starterkit_hardcore,Nothing,Nothing,Nothing,Nothing,Ничего,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing
zl_defaultVor,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,В окрестностях Воркуты,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta,Near the Vorkuta
zl_defaultCherno,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Побережье Черноруссии,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast,Chernorus Сoast
zl_defaultSouth,South Coast,South Coast,South Coast,South Coast,Южный Берег,South Coast,South Coast,South Coast,South Coast,South Coast,South Coast,South Coast,South Coast,South Coast
zl_defaultSouthEast,South East Coast,South East Coast,South East Coast,South East Coast,Юго-западный Берег,South East Coast,South East Coast,South East Coast,South East Coast,South East Coast,South East Coast,South East Coast,South East Coast,South East Coast
zl_defaultEast,East Coast,East Coast,East Coast,East Coast,Восточный Берег,East Coast,East Coast,East Coast,East Coast,East Coast,East Coast,East Coast,East Coast,East Coast
zl_spraycan_black,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black,Аэрозольная краска черная,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black,Spraycan Black
zl_spraycan_green,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green,Аэрозольная краска зеленая,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green,Spraycan Green
str_zlv_civhatchback0,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II
str_zlv_civhatchbackdoors_codriver0,Golf II Front Right Door,Golf II Front Right Door,Pravé přední dveře Golf II,Golf II Tür vorne rechts,Передняя правая дверь Golf II,Przednie prawe drzwi od Golf II,Golf II Front Right Door,Portiera anteriore destra Golf II,Puerta derecha delantera de Golf II,Portière AVD de Golf II,Golf II 右前門,Golf II 右前のドア,Porta dianteira direita Golf II,Golf II 右前车门
str_zlv_civhatchbackdoors_codriver1,Front right door of the Golf II hatchback. Keeps co-driver safe inside vehicle.,Front right door of the Golf II hatchback. Keeps co-driver safe inside vehicle.,Pravé přední dveře hatchbacku Gunter 2. Zajišťují bezpečnost spolujezdce uvnitř auta.,"Rechte Vordertür der Golf II-Kombilimousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.",Передняя правая дверь хэтчбека Golf II. Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi od hatchbacka Golf II. Dzięki nim drugi kierowca będzie bezpieczny.,Front right door of the Golf II hatchback. Keeps co-driver safe inside vehicle.,La portiera anteriore destra della due volumi Golf II. Mantiene il co-pilota al sicuro all’interno del veicolo.,Puerta derecha delantera del Golf II. Mantiene al copiloto a salvo dentro del vehículo.,Une portière avant droite pour la berline à hayon Gunter 2. Permet de protéger le passager avant.,Golf II 掀背車的右前門。保持副駕駛在車內的安全。,Golf II ハッチバックの右前のドア。助手席の人も安全に乗れる。,Porta dianteira direita do Golf II. Mantém o copiloto seguro dentro do veículo.,Golf II 掀背车的右前车门。可确保车内副驾驶员的安全。
str_zlv_civhatchbackdoors_driver0,Golf II Front Left Door,Golf II Front Left Door,Levé přední dveře Golf II,Golf II Tür vorne links,Передняя левая дверь Golf II,Przednie lewe drzwi od Guntera 2,Golf II Front Left Door,Portiera anteriore sinistra Golf II,Puerta izquierda delantera de Golf II,Portière AVG de Gunter 2,Golf II 左前門,Golf II 左前のドア,Porta dianteira esquerda Golf II,Golf II 左前车门
str_zlv_civhatchbackdoors_driver1,Front left door of the Golf II hatchback. Keeps driver safe inside vehicle.,Front left door of the Golf II hatchback. Keeps driver safe inside vehicle.,Levé přední dveře hatchbacku Gunter 2. Zajišťují bezpečnost řidiče uvnitř auta.,"Linke Vordertür der Golf II-Kombilimousine. Verhindert, dass der Fahrer aus dem Wagen fällt.",Передняя левая дверь хэтчбека Golf II. Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi od hatchbacka Golf II. Dzięki nim kierowca będzie bezpieczny.,Front left door of the Golf II hatchback. Keeps driver safe inside vehicle.,La portiera anteriore sinistra della due volumi Golf II. Mantiene il pilota al sicuro all’interno del veicolo.,Puerta izquierda delantera del Golf II. Mantiene al piloto a salvo dentro del vehículo.,Une portière avant gauche pour la berline à hayon Gunter 2. Permet de protéger le conducteur.,Golf II 掀背車的左前門。保持駕駛在車內的安全。,Golf II ハッチバックの左前のドア。運転席の人も安全に乗れる。,Porta dianteira esquerda do Golf II. Mantém o motorista seguro dentro do veículo.,Golf II 掀背车的左前车门。可确保车内驾驶员的安全。
str_zlv_civhatchbackdoors_hood0,Golf II Hood,Golf II Hood,Kapota Gunter 2,Golf II Motorhaube,Капот Golf II,Maska od Guntera 2,Golf II Hood,Cofano Golf II,Capó de Golf II,Capot de Gunter 2,Golf II 引擎蓋,Golf II ボンネット,Capô Golf II,Golf II 引擎盖
str_zlv_civhatchbackdoors_hood1,Hood of the Golf II hatchback. Helps protect the engine and other sensitive car parts.,Hood of the Golf II hatchback. Helps protect the engine and other sensitive car parts.,Kapota hatchbacku Gunter 2. Chrání motor a další citlivé součásti auta.,Motorhaube der Golf II-Kombilimousine. Schützt den Motor und andere empfindliche Wagenteile.,Капот хэтчбека Golf II. Помогает защитить двигатель и другие важные детали автомобиля.,Maska od hatchbacka Golf II. Chroni silnik i inne delikatne części samochodu.,Hood of the Golf II hatchback. Helps protect the engine and other sensitive car parts.,Il cofano della due volumi Golf II. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.,Capó de Golf II. Ayuda a proteger el motor y otras partes importantes del coche.,Un capot pour la berline à hayon Gunter 2. Protège le moteur et les pièces essentielles du véhicule.,Golf II 掀背車的引擎蓋。保護引擎與其他脆弱零件。,Golf II ハッチバックのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。,Capô do hatchback Golf II. Ajuda a proteger o motor e outras peças sensíveis do carro.,Golf II 掀背车的引擎盖。可帮助保护发动机和其他易损汽车部件。
str_zlv_civhatchbackdoors_rearleft0,Golf II Rear Left Door,Golf II Rear Left Door,Levé zadní dveře Golf II,Golf II Tür hinten links,Задняя левая дверь Golf II,Tylne lewe drzwi od Guntera 2,Golf II Rear Left Door,Portiera posteriore sinistra Golf II,Puerta izquierda trasera de Golf II,Portière ARG de Gunter 2,Golf II 左後門,Golf II 左後ろのドア,Porta traseira esquerda Golf II,Golf II 左后车门
str_zlv_civhatchbackdoors_rearleft1,Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,Levé zadní dveře hatchbacku Gunter 2. Zajišťují bezpečnost řidiče uvnitř auta.,"Linke Hintertür der Volkswagen Golf II-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.",Задняя левая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne lewe drzwi od hatchbacka Volkswagen Golf II. Dzięki nim pasażer z tyłu będzie bezpieczny.,Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,La portiera posteriore sinistra della due volumi Volkswagen Golf II. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.,Puerta izquierda trasera de Volkswagen Golf II. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.,Une portière arrière gauche pour la berline à hayon Gunter 2. Permet de protéger le passager arrière à gauche.,Volkswagen Golf II 掀背車的左後門。使後座乘客安全的坐在車內。,Volkswagen Golf II ハッチバックの左後ろのドア。後部席の人も安全に乗れる。,Porta traseira esquerda do Volkswagen Golf II. Mantém o passageiro no banco de trás seguro dentro do veículo.,Volkswagen Golf II 掀背车的左后车门。可确保车内后座位上乘客的安全。
str_zlv_civhatchbackdoors_rearright0,Volkswagen Golf II Rear Right Door,Volkswagen Golf II Rear Right Door,Pravé zadní dveře Volkswagen Golf II,Volkswagen Golf II Tür hinten rechts,Задняя правая дверь Volkswagen Golf II,Tylne prawe drzwi od Guntera 2,Volkswagen Golf II Rear Right Door,Portiera posteriore destra Volkswagen Golf II,Puerta derecha trasera de Volkswagen Golf II,Portière ARD de Gunter 2,Volkswagen Golf II 右後門,Volkswagen Golf II 右後ろのドア,Porta traseira direita Volkswagen Golf II,Volkswagen Golf II 右后车门
